student_id,age_band,first_generation,financial_aid,online_student,credits_attempted,attendance_rate,prior_gpa,advising_contacts,persisted_next_term
S0001,25+,1,0,0,16,83.6,2.31,3,0
S0002,25+,0,0,0,11,75.6,2.28,1,0
S0003,21-24,1,0,0,10,79.3,2.91,3,0
S0004,21-24,1,1,0,14,79.6,2.35,2,1
S0005,18-20,0,0,0,16,74.7,2.61,5,0
S0006,25+,1,0,0,13,86.9,2.57,4,0
S0007,18-20,1,1,1,9,79.4,2.76,4,0
S0008,18-20,1,0,0,9,81.1,3.73,1,1
S0009,25+,0,1,1,9,72.7,3.36,2,1
S0010,25+,0,1,0,8,90.0,3.01,2,0
S0011,18-20,0,1,1,13,74.6,2.75,2,0
S0012,21-24,1,0,0,16,78.9,2.76,2,1
S0013,18-20,1,1,0,13,83.0,3.18,6,0
S0014,18-20,1,1,1,6,94.0,3.32,2,0
S0015,18-20,0,1,0,12,68.6,2.5,1,1
S0016,18-20,0,1,0,13,89.7,3.02,3,0
S0017,18-20,0,1,1,19,58.1,1.88,7,0
S0018,18-20,0,0,1,9,79.2,3.12,0,0
S0019,18-20,1,1,0,12,97.8,3.42,0,1
S0020,18-20,1,0,0,18,86.9,2.85,1,0
S0021,25+,1,0,1,14,78.7,4.0,2,1
S0022,21-24,0,1,1,15,71.4,2.52,4,0
S0023,25+,1,1,1,13,77.3,3.12,3,0
S0024,18-20,1,0,0,14,79.5,2.98,3,1
S0025,21-24,1,1,1,15,69.1,2.94,1,0
S0026,21-24,0,1,0,11,79.1,2.94,2,0
S0027,18-20,0,0,1,16,79.0,3.06,1,0
S0028,18-20,0,0,0,9,74.3,3.47,2,0
S0029,18-20,0,0,1,14,68.9,3.76,1,0
S0030,18-20,1,1,0,14,68.4,3.0,1,0
S0031,18-20,1,0,0,11,85.9,3.45,3,1
S0032,18-20,1,0,1,13,82.5,2.61,0,0
S0033,18-20,0,1,0,11,84.3,3.42,3,1
S0034,21-24,0,0,1,10,86.7,2.58,2,1
S0035,18-20,0,1,0,12,82.9,3.6,2,1
S0036,18-20,0,1,0,10,85.9,4.0,5,1
S0037,21-24,0,0,0,14,85.0,2.93,0,1
S0038,18-20,0,1,0,10,81.1,1.79,2,0
S0039,18-20,0,1,0,15,76.7,2.7,1,1
S0040,18-20,1,0,0,9,100.0,3.68,0,1
S0041,18-20,0,0,0,11,77.5,3.3,0,1
S0042,18-20,1,0,1,11,70.3,3.14,4,0
S0043,18-20,1,0,1,17,81.3,3.55,3,0
S0044,18-20,0,0,1,14,79.5,3.27,1,0
S0045,25+,1,1,0,12,68.0,3.67,6,1
S0046,25+,1,1,0,14,93.2,3.51,2,0
S0047,18-20,0,1,0,7,81.1,3.84,3,1
S0048,18-20,0,1,1,13,65.9,3.2,1,1
S0049,18-20,1,0,1,19,88.9,3.5,0,1
S0050,21-24,0,1,0,13,88.3,2.83,2,1
S0051,21-24,0,1,1,13,64.4,2.67,1,0
S0052,18-20,0,1,0,15,99.8,3.94,0,1
S0053,18-20,1,1,0,16,88.6,3.12,3,1
S0054,18-20,1,0,0,7,81.9,3.44,1,0
S0055,25+,1,1,0,8,97.9,3.07,2,0
S0056,25+,1,1,1,14,78.6,2.68,5,0
S0057,18-20,0,1,1,11,76.7,3.01,0,0
S0058,18-20,0,1,0,17,75.4,3.79,0,1
S0059,18-20,0,0,0,12,87.8,3.31,0,1
S0060,21-24,0,1,1,7,81.8,2.06,4,1
S0061,25+,1,1,1,9,77.1,2.88,2,1
S0062,18-20,0,1,0,5,74.1,3.98,1,0
S0063,18-20,0,0,0,12,83.3,2.88,4,1
S0064,18-20,1,0,0,12,81.3,2.01,2,0
S0065,18-20,1,0,0,12,68.7,4.0,3,0
S0066,21-24,0,0,1,16,62.3,3.38,1,0
S0067,18-20,0,0,0,17,87.7,2.96,1,0
S0068,25+,0,1,1,12,51.0,2.8,2,0
S0069,18-20,0,1,0,7,84.1,3.6,4,1
S0070,18-20,0,0,0,15,77.2,2.7,1,1
S0071,18-20,0,1,1,15,90.1,3.63,5,1
S0072,18-20,0,0,0,14,77.1,3.3,2,0
S0073,18-20,1,1,0,16,88.6,3.13,1,0
S0074,21-24,0,0,1,10,73.0,3.08,2,0
S0075,18-20,0,0,1,19,78.1,2.9,0,0
S0076,18-20,0,1,0,10,89.4,3.58,1,1
S0077,18-20,0,0,0,15,77.4,2.52,2,0
S0078,18-20,1,0,0,8,92.0,2.11,3,0
S0079,25+,0,0,0,10,72.1,3.34,6,1
S0080,25+,1,1,0,18,84.9,3.35,2,0
S0081,18-20,1,1,0,12,91.2,3.26,1,0
S0082,21-24,0,0,1,16,83.6,3.22,1,1
S0083,21-24,1,1,1,14,96.2,2.82,2,1
S0084,25+,0,1,1,13,69.4,3.43,1,0
S0085,18-20,0,0,1,17,63.2,2.97,2,1
S0086,18-20,0,0,1,12,67.1,2.73,4,0
S0087,18-20,1,1,1,8,83.6,2.83,2,0
S0088,25+,0,1,1,11,82.0,4.0,2,0
S0089,21-24,0,1,0,15,83.0,2.05,2,0
S0090,18-20,0,1,0,14,70.8,3.27,0,1
S0091,18-20,0,0,0,8,89.7,2.08,0,0
S0092,21-24,1,1,0,11,69.8,2.94,1,0
S0093,25+,0,1,0,11,93.6,2.76,4,0
S0094,18-20,0,0,0,12,100.0,1.85,0,1
S0095,21-24,0,1,0,9,85.7,3.21,1,1
S0096,18-20,1,1,0,11,87.8,2.79,0,0
S0097,18-20,0,0,0,11,77.1,1.85,1,0
S0098,18-20,0,0,1,15,58.9,3.46,5,1
S0099,21-24,0,0,1,15,71.0,3.79,2,1
S0100,25+,1,0,0,13,71.1,3.82,2,1
S0101,18-20,1,1,0,12,67.5,3.2,1,0
S0102,18-20,1,0,0,13,99.2,3.03,3,1
S0103,18-20,0,0,1,11,79.7,3.73,3,1
S0104,18-20,1,0,1,10,80.8,3.93,0,0
S0105,18-20,1,0,0,10,78.9,3.62,5,1
S0106,18-20,1,0,1,11,75.3,2.48,0,0
S0107,18-20,0,0,0,10,91.6,3.11,1,0
S0108,18-20,0,1,0,13,81.7,3.24,2,1
S0109,18-20,0,0,1,15,82.3,2.0,4,0
S0110,21-24,1,1,0,8,80.0,3.26,3,0
S0111,18-20,0,0,0,13,78.6,4.0,3,1
S0112,21-24,0,0,0,12,67.9,3.35,2,1
S0113,25+,0,0,0,14,62.2,3.81,2,0
S0114,18-20,0,0,1,13,74.4,3.1,1,0
S0115,18-20,0,1,1,9,77.6,2.96,4,0
S0116,18-20,1,0,0,9,69.1,3.21,2,0
S0117,21-24,1,0,0,13,81.7,2.55,4,0
S0118,18-20,1,1,1,16,77.5,2.47,1,0
S0119,18-20,0,1,0,6,60.4,3.7,1,0
S0120,18-20,1,1,1,14,67.8,3.75,2,0
S0121,18-20,0,0,1,17,81.1,2.45,0,0
S0122,18-20,1,1,0,13,85.9,3.53,2,1
S0123,21-24,0,0,1,15,65.5,2.95,6,0
S0124,18-20,0,1,0,11,83.6,3.19,1,0
